#{"t_start": 1701212964.0998144, "env_id": "None"}
r,l,t
-300.0,300,0.6525
1988.0,13,0.665264
-300.0,300,0.846685
-300.0,300,1.038005
-300.0,300,1.229037
-300.0,300,1.368204
-300.0,300,1.500304
-300.0,300,1.618044
-300.0,300,1.750254
-300.0,300,1.9828
1991.0,10,1.990561
1860.0,141,2.068602
-300.0,300,2.258476
2000.0,1,2.274112
1847.0,154,2.369517
-300.0,300,2.550472
-300.0,300,2.681575
-300.0,300,2.812405
-300.0,300,2.933663
-300.0,300,3.106997
1936.0,65,4.741695
-300.0,300,5.051526
-300.0,300,5.313313
-300.0,300,5.55278
-300.0,300,5.692767
-300.0,300,5.842477
-300.0,300,6.075065
-300.0,300,6.255331
-300.0,300,6.420372
-300.0,300,6.670595
1724.0,277,6.85045
-300.0,300,7.034397
-300.0,300,7.280991
-300.0,300,7.416489
-300.0,300,7.534664
-300.0,300,7.670889
-300.0,300,7.796859
-300.0,300,9.619431
-300.0,300,9.850228
1937.0,64,9.897135
-300.0,300,10.166245
-300.0,300,10.352727
-300.0,300,10.493499
-300.0,300,10.620362
-300.0,300,10.761982
-300.0,300,10.886874
-300.0,300,11.094218
-300.0,300,11.282951
-300.0,300,11.465751
-300.0,300,11.678325
-300.0,300,11.803798
-300.0,300,11.934306
-300.0,300,12.068437
-300.0,300,12.178582
-300.0,300,14.065728
-300.0,300,14.285284
1938.0,63,14.324539
-300.0,300,14.518723
-300.0,300,14.711082
-300.0,300,14.840895
-300.0,300,14.969794
-300.0,300,15.141062
-300.0,300,15.358295
-300.0,300,15.601028
1792.0,209,15.735367
1892.0,109,15.797226
-300.0,300,15.991287
-300.0,300,16.183155
-300.0,300,16.309381
-300.0,300,16.436224
-300.0,300,16.567496
-300.0,300,16.699013
1974.0,27,16.757338
-300.0,300,18.615634
1894.0,107,18.719385
1993.0,8,18.753096
-300.0,300,18.943587
-300.0,300,19.303291
-300.0,300,19.431119
-300.0,300,19.554467
-300.0,300,19.739556
-300.0,300,19.95538
1942.0,59,20.065904
1820.0,181,20.330768
-300.0,300,20.620365
1835.0,166,20.73187
-300.0,300,21.095517
-300.0,300,21.239643
-300.0,300,21.366478
-300.0,300,21.525717
-300.0,300,21.688596
